symbol,strategy
ABBOTINDIA.NS,stochastic_buy
ASIANPAINT.NS,stochastic_buy
AXISBANK.NS,stochastic_buy
BAJAJ-AUTO.NS,stochastic_buy
BAJAJFINSV.NS,stochastic_buy
BAJAJHLDNG.NS,stochastic_buy
BAJFINANCE.NS,stochastic_buy
BATAINDIA.NS,stochastic_buy
BERGEPAINT.NS,stochastic_buy
COLPAL.NS,stochastic_buy
DABUR.NS,stochastic_buy
GILLETTE.NS,stochastic_buy
GLAXO.NS,stochastic_buy
HAVELLS.NS,stochastic_buy
HCLTECH.NS,stochastic_buy
HDFCAMC.NS,stochastic_buy
HDFCBANK.NS,stochastic_buy
HDFCLIFE.NS,stochastic_buy
HINDUNILVR.NS,stochastic_buy
ICICIBANK.NS,stochastic_buy
ICICIGI.NS,stochastic_buy
ICICIPRULI.NS,stochastic_buy
INFY.NS,stochastic_buy
ITC.NS,stochastic_buy
KOTAKBANK.NS,stochastic_buy
LT.NS,stochastic_buy
MARICO.NS,stochastic_buy
MARUTI.NS,stochastic_buy
NAM-INDIA.NS,stochastic_buy
NESTLEIND.NS,stochastic_buy
PAGEIND.NS,stochastic_buy
PFIZER.NS,stochastic_buy
PGHH.NS,stochastic_buy
PIDILITIND.NS,stochastic_buy
RELIANCE.NS,stochastic_buy
SANOFI.NS,stochastic_buy
SBIN.NS,stochastic_buy
TCS.NS,stochastic_buy
TITAN.NS,stochastic_buy
VOLTAS.NS,stochastic_buy
ACC.NS,stochastic_buy
ADANIPORTS.NS,stochastic_buy
ANGELONE.NS,stochastic_buy
APOLLOHOSP.NS,stochastic_buy
ASTRAZEN.NS,stochastic_buy
AWL.NS,stochastic_buy
BAJAJHFL.NS,stochastic_buy
BLUESTARCO.NS,stochastic_buy
BOSCHLTD.NS,stochastic_buy
BSE.NS,stochastic_buy
CAMS.NS,stochastic_buy
CDSL.NS,stochastic_buy
CIPLA.NS,stochastic_buy
DIXON.NS,stochastic_buy
DMART.NS,stochastic_buy
EICHERMOT.NS,stochastic_buy
ERIS.NS,stochastic_buy
FORTIS.NS,stochastic_buy
GODREJCP.NS,stochastic_buy
HONAUT.NS,stochastic_buy
HYUNDAI.NS,stochastic_buy
INDHOTEL.NS,stochastic_buy
ITCHOTELS.NS,stochastic_buy
JIOFIN.NS,stochastic_buy
JSWINFRA.NS,stochastic_buy
KAJARIACER.NS,stochastic_buy
LALPATHLAB.NS,stochastic_buy
M&M.NS,stochastic_buy
MCX.NS,stochastic_buy
MEDANTA.NS,stochastic_buy
MRF.NS,stochastic_buy
QUESS.NS,stochastic_buy
RADICO.NS,stochastic_buy
RELAXO.NS,stochastic_buy
TMPV.NS,stochastic_buy
TEAMLEASE.NS,stochastic_buy
UBL.NS,stochastic_buy
ULTRACEMCO.NS,stochastic_buy
UNITDSPR.NS,stochastic_buy
VBL.NS,stochastic_buy
^NSEI,stochastic_buy
^NSEBANK,stochastic_buy
^CNXIT,stochastic_buy
^CNXFMCG,stochastic_buy
^CNXPHARMA,stochastic_buy
^CNXAUTO,stochastic_buy
^BSESN,stochastic_buy